pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
EPIC 206024342 b,EPIC 206024342,1,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86,12.9682,0.000384,-0.000384
EPIC 206024342 c,EPIC 206024342,1,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86,12.9682,0.000384,-0.000384
EPIC 206024342 d,EPIC 206024342,1,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.888,4.99,-4.86,12.9682,0.000384,-0.000384
EPIC 206032309 b,EPIC 206032309,1,22h44m57.71s,341.2404563,-13d54m04.04s,-13.9011223,161.365,1.793,-1.793,16.0689,0.00107,-0.00107
EPIC 206042996 b,EPIC 206042996,1,22h30m03.27s,337.5136198,-13d36m36.53s,-13.6101475,451.769,13.976,-13.176,15.9752,0.000969,-0.000969
EPIC 206042996 c,EPIC 206042996,1,22h30m03.27s,337.5136198,-13d36m36.53s,-13.6101475,451.769,13.976,-13.176,15.9752,0.000969,-0.000969
EPIC 206215704 b,EPIC 206215704,1,22h20m22.79s,335.0949721,-09d30m34.96s,-9.5097112,109.888,1.08,-1.08,16.1722,0.000979,-0.000979
EPIC 206317286 b,EPIC 206317286,1,22h30m28.28s,337.6178427,-07d58m20.84s,-7.972456,314.35,2.936,-2.882,13.774,0.000299,-0.000299
EPIC 206317286 c,EPIC 206317286,1,22h30m28.28s,337.6178427,-07d58m20.84s,-7.972456,314.35,2.936,-2.882,13.774,0.000299,-0.000299
EPIC 211822797 b,EPIC 211822797,1,08h41m38.45s,130.4102091,+17d38m23.91s,17.6399744,186.197,1.3645,-1.3645,14.5263,0.000323,-0.000323
EPIC 211945201 b,EPIC 211945201,1,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,181.69,1.295,-1.277,10.0512,0.000372,-0.000372
